item_id,title,author,pub_date,genre,summary
15434217,Cat among the Pigeons,Julia Golding,2006,Children's literature," The setting is London in the late 18th century when slavery has just been ruled illegal in England but is still common in the British West Indies. Things are fine but then trouble rises as Pedro's old slave master, Mr. Hawkins, comes to London and tries to reclaim Pedro as one of his properties. He is at first thwarted by Cat but he vows to return. But not without a fight as Pedro's friends, Cat, Frank, Lizzie, Syd and the gang try to secure his freedom. Once again, Cat finds trouble following her once more as she is chased around in London by the Bow Street Runners coming for her arrest for biting Mr Hawkins after he taunted her. Disguising herself as a boy with the help of her friends, Frank and Charlie, she enters an aristocratic boarding school and learns things like Latin and fencing that girls are never taught. Cat is bullied for being clever and a 'pretty boy' by Richmond, the son of a plantation owner. When they find Cat with a medallion abhorring slavery Richmond and his gang beat Cat up. When Syd arrives bringing sasuages as a decoy, he's furious and wants to take Cat home immediately, but soon realises that she's safe where she is as the Bow Street Runners are still looking for her. Meanwhile Pedro is caught and is being held by Billy Shepherd for Mr Hawkins. Cat finds out where he is but can't inform the police as she has no proof against Mr Hawkins. Finally, as Mr Hawkins is about to set sail with Pedro on board Cat arrives with Lizzie, Frank, Mr Equaino and the Duchess to rescue Pedro. The Magistrate is called and Cat blackmails Mr Hawkins into setting Pedro free."
2473187,The Star Scroll,Melanie Rawn,1989,Science Fiction," While on Dorval, the Sunrunner Meath uncovers ancient scrolls in the Sunrunner ruins. Concerned about the content and odd star symbols, Meath decides to take the scrolls to the leader of the Sunrunners, Andrade. Lady Andrade appoints Andry to translate the scrolls with the help of Hollis, his brother Maarken's unofficial betrothed. As Andry and Hollis work through the translation and the embedded code, they learn that the scrolls deal with ancient sorcerers and sorcery. They are unaware that the scrolls' existence and rediscovery is known to sorcerers in hiding. Mireva, a sorceress, forms a plan to retrieve the scrolls. One of her charges, Segev, Ianthe's youngest son, travels to Goddess Keep to pose as a young faradhi in order to steal the scrolls. He addicts Hollis to dranath as a cohort, but Andry disrupts Segev's plan. Meanwhile, an arrogant upstart called Masul attempts to proclaim himself Roelstra's son and heir. The whispers of this heir lead to an assassination attempt on Pol's life. To proclaim Pol's position as Prince of Princemarch, Rohan and Pol progresses through Princemarch. Pol meets the local Lords and earns his people's favor by participating in their traditions. Unfortunately, another assassination attempt is made, this time ending in Maeta's death. At the Rialla, most of the discussion is over Masul, whether or not he is Roelstra's heir, and whether or not it even matters. As the Princes debate the issue, Segev continues to drug Hollis, who in turn draws away from Maarken. Then, Andrade claims that she can show the events of the past by using sorcery from the scrolls. Gleeful at the turn of events, Segev uses sorcery during her conjuring in order to kill her. Andry becomes Lord of Goddess Keep. Though saddened by Andrade's death, the debate of Masul continues; her conjure proved nothing. At last a duel is proposed between Masul and Pol. Maarken fights in Pol's place as Pol has yet to be knighted. During the battle, Segev uses sorcery against Maarken. Seeing Maarken in pain snaps Hollis out of her drugged state, and she kills Segev. Masul nearly kills Maarken, but at the last minute, Rohan intervenes and kills him with a pair of thrown daggers. As the Desert entourage travels home, accompanied by Hollis, who is slowly recovering, a valley filled with dragons is discovered. The site will become Pol's palace, Dragon's Rest. Sioned, who had earlier 'bumped' into a dragon on sunlight, attempts to 'speak' with a dragon. This time she succeeds and a bond is formed between human and dragon."
10585118,A Woman in Amber,Agate Nesaule,1995,Autobiography," A Woman in Amber begins with Agate Nesaule as an adult. She is a successful professor of Women’s Studies and 20th century American Literature at the University of Wisconsin Whitewater. Despite her outward professional success, Agate lives with an inner turmoil caused by her memories of war and perpetuated by her husband Joe. Nesaule finds herself in therapy, depressed and unable to come to terms with the root cause of her depression. On the advice of her therapist Ingeborg, Agate learns she can not begin to heal until she is able to tell her story; the story of what happened to her and her family during World War II in Latvia and Germany at the hands of the invading Russian soldiers. So she begins her story by admitting that she was in Germany during the last year of the war and that she was starving. From this first admittance, Agate begins to tell many stories related to her hunger. She tells how she was prompted by her mother to beg the Russian soldiers, in Russian, not Latvian, for food. Later in life, she mistakenly tells this same story to her husband Joe. He mocks her time and again for the way in which she was forced to beg for food; suggesting she enjoyed it. Agate remembers how the Russians looked at her as if she were a goose singing. Agate relates the shame of going hungry and living with the belief she was not worth feeding. As the war progresses, things do not get much better for Agate and her family. When the Mongolian (perhaps Mongoloid) Russian soldiers arrive, her father is forced to leave with the rest of the men. The women and young girls are taken to a basement where the women are repeatedly raped. Agate is young enough to escape this, but careful provisions must be made for her fifteen year old cousin Astrida. Agate’s mother Valda is understandably destroyed by the Russian occupation and the horrors that occur in the basement. When they are finally let out of the basement, the soldiers lead the women and girls into the woods. Everyone believes they are to be executed. Valda makes preparations to drag Agate with her to the front of the lines. Valda reasons if she and Agate are first, they will not need to see the others die. Agate does not wish to die, what ensues is a physical tug of war with her mother for her life. The struggle Agate has with her mother that day remains a constant tension between the two. Agate is unable to see Valda’s love for her and desire to save her from pain. Later, the reader comes to see that Valda did care deeply for Agate and loved her very much; particularly in Valda’s description of her desire to prepare Agate for her wedding day, a preparation Valda was never able to follow through on. Unfortunately for Valda and Agate, the trauma of war and the distance their shared experiences placed between them left no time to reconcile before Valda’s death. Later, Agate and her family journey to Berlin where they are admitted to a Displaced Persons camp. Here they are given food and shelter. The family would move many times during the next several years, going from camp to camp and beginning life again. Agate attends Latvian school while in the camps. At age twelve, Agate and her family leave the camps and immigrate to the United States. We learn of Agate's life in the United States and her parents' financial struggle. Agate must adapt to life quickly in the United States. A quick learner, Agates teaches herself English in one summer. The first book she learns to read in English is Margaret Mitchell’s Gone with the Wind. An excellent student, Agate receives a scholarship to attend Indiana University. While there, she meets her future husband Joe. Agate’s family does not agree with the marriage, and it finalizes the distance between Agate and her mother. During the next twenty years Agate receives her doctorate degree, has a son named Boris, and becomes a successful professor at the University of Wisconsin-Whitewater. Constantly living with Joe’s put downs, harassments, and minimization of the trauma she endured in the war, Agate represses her feelings of depression and tries to carry on with her life. Though they are separated for much of their adult life, Agate and Beate rejoin each other when Beate’s husband Uldis dies alone and penniless from alcohol poisoning. Despite being distanced from the Latvian community in Indianapolis where her father remained very active, Agate retains a close tie to her Latvian heritage. When a friend asks what he may bring Agate from Latvia, she asks for some Latvian soil. It is party due to her connection with Latvia that her new husband John is able to find a way into Agate’s heart. Throughout her life, Agate admires an amber pendant that her mother wore and then passed down to Agate. John gives Agagte a similar piece of amber. Through his respectful and receptive listening Agate is fully able to heal when she tells John her story and finally finds acceptance."
5504833,The Gospel According to Adam,Muhammad Aladdin,2006,Novel," A young man walks a scorching Cairo street. At the entrance to the city’s pivotal main square, he notices a succulent girl. Ineluctably drawn into her magnetic field, and the swirling, palpitating square ahead, he starts to fantasize about how he would talk to her, seduce her, rape her, love her, abandon her, cherish her were he, for example, a Brazen Rake, a Brutal Bohemian, a Sensitive Painter, or a Bald Mechanic, jumping from persona to persona as his imaginings become more and more feverish, while in his mind the girl goes through a similar series of transformations. These characters—a circus parade of Egypt’s contemporary human menagerie—are not, however, mere dress-up costumes to be donned and discarded at their author’s whim. They, and others who emerge from the side alleys of his mind, strut their stuff, accost one another, argue, and shout until eventually they leave him, on a scorching Cairo street, peering after an infinite succession of receding, parallel clamorous worlds, from whose possibilities he must draw his own conclusions."
11268324,Doctor Dolittle's Circus,Hugh Lofting,1924,Children's literature," The doctor needs money to pay off a voyage to Africa, so he joins the circus with the pushmi-pullyu as his attraction. He enlightens a circus owner who cares little for animals, fights against the practice of fox hunting and helps other creatures such as a circus seal and cart horses too old to work."
9090930,The Mausoleum Murder,Katherine Roberts,2003-12-01,Speculative fiction," In the beginning of the story, Alexis' home Halicarnassos is at war with Macedon. As the war rages on Alexis' stepmother still wants to make the pilgrimage to the river. Alexis has the gift to turn statues that have enough gold on them into real people. This gift gets him into trouble as his stepmother has the spirit of the old king who wants to reclaim his land. Alexis meets the princess and turns her fabled chimea to life and it rampages through the city attacking all who are known as their enemies. Alexis then goes to the river and reverses his gift and is shocked when his father and his best friend are still real when all of the other statues have turned back to stone."
17434140,The Three Palladins,Harold Lamb,1977,Science Fiction, The novel is an adventure story about the rise of Genghis Khan and the fabled kingdom of Prester John.
3563571,The No.1 Ladies' Detective Agency,Alexander McCall Smith,1998,Mystery," Mma Precious Ramotswe becomes a private detective, the first woman in Botswana to enter that profession, and opens an agency whose name indicates this unique situation. Motivated to help others and to make Botswana a better place, she encounters many dangerous and risky obstacles in the course of her investigations, but succeeds through using her intelligence, courage and instinct. Along with the plot developments, Mma Ramotswe provides observations upon the fine qualities of Botswana and Africa: the culture, traditions, and natural beauties found there, and the inhabitants' pride in their land."
19770038,The Line,Martin Flanagan,2005,Memoir, A short history of Arch's childhood growing up in rural Tasmania Most of the memoir is composed of these sections which contain various situations that Arch remembers from his time in the war. A tribute written by Arch in memory of Edward (Weary) Dunlop. A short work of fiction written by Arch.
10736690,The Children of Llyr,Evangeline Walton,1971,Speculative fiction," Britain is ruled by the children of Llyr and Penarddun, the giant King Bran and his siblings Branwen and Manawyddan, together with their younger half-brothers Nissyen and Evnissyen, the offspring of Penarddun and Euroswydd. Branwen is given in marriage to Matholuch, king of Ireland. Angry that he was not consulted, Evnissyen, a tragic and haunted figure, insults Matholuch by mutilating his horses. Bran placates the Irish king by compensating him with new horses and treasure, including a magical cauldron which can restore the dead to life. Back in Ireland, Matholuch and Branwen have a son, Gwern, but Evnissyen's insult continues to rankle the Irish and Branwen is banished to the kitchen and beaten every day. Finally she gets a message to Bran, who responds by making war on Matholuch. His army sails across the Irish Sea, but Bran is so huge he wades across. The fearful Matholuch offers peace and agrees to step aside as king of Ireland in favor of Gwern. Matholwch builds a house big enough to entertain Bran. His followers, unrepentant, conceal themselves in the house inside a hanging hundred bags, supposedly containing flour. Evnissyen, suspecting treachery, reconnoitres the hall and kills the hidden warriors by crushing their heads inside the bags. Later, at the feast, the angry Evnissyen throws Gwern into the fire, precipitating a battle. The fighting goes against Bran's forces, as the Irish use the magic cauldron to revive their dead. Evnissyen hides among the corpses to have himself thrown in the cauldron, which destroys it, although the effort costs him his life and comes too late for the combatants, almost all of whom are now dead. Only Branwen and seven of Bran's followers survive, notably Manawyddan and Pryderi, prince of Dyved. Bran himself is mortally wounded. Bran instructs his mourning companions to cut off his head and take it back to Britain. Branwen dies on their return, grief-struck from the ruin caused on her account. Bran's head, magically preserved, continues to live for a time, comforting and entertaining his adherents in a series of enchanted feasts before burial. Of all the children of Llyr only Manawyddan remains."
